,510300.XSHG,510500.XSHG
2017-05-02,1.3528,1.8247
2017-05-03,1.3479,1.8193
2017-05-04,1.3446,1.8131
2017-05-05,1.3365,1.7879
2017-05-08,1.3276,1.7544
2017-05-09,1.3258,1.7649
2017-05-10,1.321,1.7283
2017-05-11,1.3281,1.7243
2017-05-12,1.3391,1.7219
2017-05-15,1.3444,1.7309
2017-05-16,1.3554,1.7667
2017-05-17,1.3485,1.7707
2017-05-18,1.3442,1.7558
2017-05-19,1.3464,1.7555
2017-05-22,1.3492,1.7302
2017-05-23,1.3541,1.694
2017-05-24,1.3541,1.7041
2017-05-25,1.3772,1.7195
2017-05-26,1.3754,1.7163
2017-05-31,1.3799,1.7123
2017-06-01,1.3817,1.6789
2017-06-02,1.3776,1.6975
2017-06-05,1.3714,1.7103
2017-06-06,1.3804,1.7176
2017-06-07,1.3958,1.7514
2017-06-08,1.406,1.7533
2017-06-09,1.4122,1.7574
2017-06-12,1.4116,1.7382
2017-06-13,1.4148,1.761
2017-06-14,1.4,1.7572
2017-06-15,1.3978,1.7735
2017-06-16,1.3957,1.7718
2017-06-19,1.4088,1.785
2017-06-20,1.4062,1.7879
2017-06-21,1.4217,1.7912
2017-06-22,1.4227,1.7665
2017-06-23,1.4348,1.7713
2017-06-26,1.4515,1.8015
2017-06-27,1.454,1.8021
2017-06-28,1.4434,1.7942
2017-06-29,1.4523,1.8036
2017-06-30,1.4519,1.8101
2017-07-03,1.4458,1.8217
2017-07-04,1.4346,1.8126
2017-07-05,1.4508,1.8264
2017-07-06,1.4516,1.8288
2017-07-07,1.4515,1.8364
2017-07-10,1.4516,1.8307
2017-07-11,1.4595,1.8081
2017-07-12,1.4555,1.8089
2017-07-13,1.467,1.8143
2017-07-14,1.4744,1.8085
2017-07-17,1.4598,1.7343
2017-07-18,1.4616,1.7523
2017-07-19,1.4852,1.7882
2017-07-20,1.492,1.8002
2017-07-21,1.4852,1.8086
2017-07-24,1.4908,1.8207
2017-07-25,1.482,1.8165
2017-07-26,1.4768,1.8147
2017-07-27,1.4795,1.8261
2017-07-28,1.4832,1.8357
2017-07-31,1.4891,1.86
2017-08-01,1.5013,1.8565
2017-08-02,1.4982,1.8465
2017-08-03,1.4859,1.8495
2017-08-04,1.4785,1.8388
2017-08-07,1.4856,1.8615
2017-08-08,1.488,1.8615
2017-08-09,1.4876,1.8725
2017-08-10,1.4819,1.8573
2017-08-11,1.4566,1.8198
2017-08-14,1.4742,1.8584
2017-08-15,1.4784,1.8648
2017-08-16,1.4766,1.8662
2017-08-17,1.484,1.8802
2017-08-18,1.4857,1.8747
2017-08-21,1.4917,1.8913
2017-08-22,1.4959,1.883
2017-08-23,1.4973,1.8674
2017-08-24,1.4894,1.8544
2017-08-25,1.5123,1.8746
2017-08-28,1.5297,1.8977
2017-08-29,1.5274,1.8926
2017-08-30,1.5273,1.9061
2017-08-31,1.5228,1.9112
2017-09-01,1.5259,1.9278
2017-09-04,1.5322,1.9387
2017-09-05,1.5364,1.9411
2017-09-06,1.5336,1.9514
2017-09-07,1.5263,1.9372
2017-09-08,1.5248,1.9413
2017-09-11,1.5246,1.9638
2017-09-12,1.5292,1.9624
2017-09-13,1.5308,1.9741
2017-09-14,1.526,1.9705
2017-09-15,1.5265,1.9557
2017-09-18,1.5308,1.97
2017-09-19,1.5265,1.96
2017-09-20,1.5305,1.9766
2017-09-21,1.5287,1.9529
2017-09-22,1.5286,1.9409
2017-09-25,1.521,1.9166
2017-09-26,1.5225,1.9251
2017-09-27,1.5225,1.9439
2017-09-28,1.523,1.9395
2017-09-29,1.5282,1.9498
2017-10-09,1.545,1.9719
2017-10-10,1.5478,1.9799
2017-10-11,1.5526,1.9684
2017-10-12,1.5565,1.9659
2017-10-13,1.5594,1.9813
2017-10-16,1.5565,1.9545
2017-10-17,1.5564,1.9524
2017-10-18,1.568,1.9378
2017-10-19,1.5632,1.9195
2017-10-20,1.5616,1.9402
2017-10-23,1.5631,1.9522
2017-10-24,1.5738,1.9491
2017-10-25,1.5803,1.9626
2017-10-26,1.5865,1.9698
2017-10-27,1.5971,1.9575
2017-10-30,1.5924,1.9224
2017-10-31,1.5913,1.9366
2017-11-01,1.5875,1.9344
2017-11-02,1.5877,1.9143
2017-11-03,1.586,1.897
2017-11-06,1.5965,1.922
2017-11-07,1.6089,1.934
2017-11-08,1.6066,1.9374
2017-11-09,1.617,1.9517
2017-11-10,1.6305,1.9608
2017-11-13,1.6364,1.9695
2017-11-14,1.6257,1.9527
2017-11-15,1.6161,1.9301
2017-11-16,1.6279,1.9363
2017-11-17,1.6338,1.8787
2017-11-20,1.6423,1.8993
2017-11-21,1.67,1.9063
2017-11-22,1.6736,1.9011
2017-11-23,1.6266,1.853
2017-11-24,1.6273,1.8539
2017-11-27,1.6069,1.829
2017-11-28,1.6091,1.8598
2017-11-29,1.6085,1.8656
2017-11-30,1.5908,1.8491
2017-12-01,1.588,1.8644
2017-12-04,1.5958,1.8536
2017-12-05,1.6038,1.8106
2017-12-06,1.5945,1.8225
2017-12-07,1.5774,1.8138
2017-12-08,1.5895,1.8335
2017-12-11,1.61,1.8578
2017-12-12,1.5899,1.8425
2017-12-13,1.6026,1.8554
2017-12-14,1.5936,1.8574
2017-12-15,1.5766,1.8425
2017-12-18,1.5782,1.8314
2017-12-19,1.5969,1.8468
2017-12-20,1.5952,1.8312
2017-12-21,1.609,1.8433
2017-12-22,1.604,1.8444
2017-12-25,1.5991,1.8271
2017-12-26,1.6036,1.8376
2017-12-27,1.5801,1.8237
2017-12-28,1.5905,1.8332
2017-12-29,1.5949,1.8469
2018-01-02,1.6161,1.8709
2018-01-03,1.6251,1.8874
2018-01-04,1.6316,1.8958
2018-01-05,1.6353,1.8957
2018-01-08,1.6433,1.9041
2018-01-09,1.6543,1.9039
2018-01-10,1.6613,1.8922
2018-01-11,1.6604,1.8982
2018-01-12,1.6677,1.8903
2018-01-15,1.6678,1.8472
2018-01-16,1.6803,1.8609
2018-01-17,1.6763,1.8506
2018-01-18,1.6851,1.8557
2018-01-19,1.6902,1.8509
2018-01-22,1.7093,1.8734
2018-01-23,1.7263,1.8754
2018-01-24,1.729,1.8873
2018-01-25,1.7198,1.8839
2018-01-26,1.7261,1.8841
2018-01-29,1.6965,1.862
2018-01-30,1.6794,1.863
2018-01-31,1.6868,1.8263
2018-02-01,1.6758,1.766
2018-02-02,1.685,1.7715
2018-02-05,1.686,1.7696
2018-02-06,1.6396,1.6834
2018-02-07,1.603,1.6849
2018-02-08,1.589,1.7012
2018-02-09,1.5254,1.6383
2018-02-12,1.5437,1.6813
2018-02-13,1.5607,1.6923
2018-02-14,1.5723,1.6977
2018-02-22,1.6039,1.7334
2018-02-23,1.6108,1.7398
2018-02-26,1.6283,1.779
2018-02-27,1.6062,1.7735
2018-02-28,1.5931,1.7772
2018-03-01,1.6027,1.7967
2018-03-02,1.5906,1.7868
2018-03-05,1.5911,1.7888
2018-03-06,1.609,1.8131
2018-03-07,1.5978,1.7958
2018-03-08,1.6131,1.8093
2018-03-09,1.6247,1.8319
2018-03-12,1.6315,1.858
2018-03-13,1.6179,1.8462
2018-03-14,1.6113,1.827
2018-03-15,1.6199,1.8237
2018-03-16,1.6051,1.8139
2018-03-19,1.6118,1.8157
2018-03-20,1.613,1.8214
2018-03-21,1.6066,1.8082
2018-03-22,1.5913,1.7997
2018-03-23,1.5484,1.7066
2018-03-26,1.5389,1.7409
2018-03-27,1.5513,1.7798
2018-03-28,1.525,1.7617
2018-03-29,1.5441,1.7798
2018-03-30,1.5458,1.8035
2018-04-02,1.5415,1.8055
2018-04-03,1.5325,1.7872
2018-04-04,1.5298,1.7752
2018-04-09,1.5291,1.7773
2018-04-10,1.5567,1.7885
2018-04-11,1.5608,1.7953
2018-04-12,1.5459,1.7849
2018-04-13,1.5357,1.7777
2018-04-16,1.5125,1.7731
2018-04-17,1.4901,1.7376
2018-04-18,1.4966,1.7611
2018-04-19,1.5135,1.7711
2018-04-20,1.4946,1.7345
2018-04-23,1.4965,1.7172
2018-04-24,1.5252,1.757
